City	Edition	Sport	Discipline		NOC	Gender		Event_gender	Medal
Athens	1896	Aquatics	Swimming		HUN	Men		M	Gold
Athens	1896	Aquatics	Swimming		AUT	Men		M	Silver
Athens	1896	Aquatics	Swimming		GRE	Men		M	Bronze
Athens	1896	Aquatics	Swimming		GRE	Men		M	Gold
Athens	1896	Aquatics	Swimming		GRE	Men		M	Silver
Athens	1896	Aquatics	Swimming		GRE	Men		M	Bronze
Athens	1896	Aquatics	Swimming		HUN	Men		M	Gold
Athens	1896	Aquatics	Swimming		GRE	Men		M	Silver
Athens	1896	Aquatics	Swimming		GRE	Men		M	Bronze
Athens	1896	Aquatics	Swimming		AUT	Men		M	Gold
Athens	1896	Aquatics	Swimming		GRE	Men		M	Silver
Athens	1896	Athletics	Athletics		USA	Men		M	Bronze
Athens	1896	Athletics	Athletics		HUN	Men		M	Bronze
Athens	1896	Athletics	Athletics		USA	Men		M	Gold
Athens	1896	Athletics	Athletics		GER	Men		M	Silver
Athens	1896	Athletics	Athletics		USA	Men		M	Gold
Athens	1896	Athletics	Athletics		GBR	Men		M	Silver
Athens	1896	Athletics	Athletics		FRA	Men		M	Bronze
Athens	1896	Athletics	Athletics		AUS	Men		M	Gold
Athens	1896	Athletics	Athletics		USA	Men		M	Silver
Athens	1896	Athletics	Athletics		GBR	Men		M	Bronze
Athens	1896	Athletics	Athletics		USA	Men		M	Gold
Athens	1896	Athletics	Athletics		USA	Men		M	Silver
Athens	1896	Athletics	Athletics		GRE	Men		M	Bronze
Athens	1896	Athletics	Athletics		AUS	Men		M	Gold
Athens	1896	Athletics	Athletics		HUN	Men		M	Silver
Athens	1896	Athletics	Athletics		GRE	Men		M	Bronze
Athens	1896	Athletics	Athletics		USA	Men		M	Gold
Athens	1896	Athletics	Athletics		GRE	Men		M	Silver
Athens	1896	Athletics	Athletics		USA	Men		M	Gold
Athens	1896	Athletics	Athletics		USA	Men		M	Silver
Athens	1896	Athletics	Athletics		USA	Men		M	Silver
Athens	1896	Athletics	Athletics		USA	Men		M	Bronze
Athens	1896	Athletics	Athletics		USA	Men		M	Gold
Athens	1896	Athletics	Athletics		USA	Men		M	Silver
Athens	1896	Athletics	Athletics		HUN	Men		M	Bronze
Athens	1896	Athletics	Athletics		GRE	Men		M	Gold
Athens	1896	Athletics	Athletics		GRE	Men		M	Silver
Athens	1896	Athletics	Athletics		GRE	Men		M	Bronze
Athens	1896	Athletics	Athletics		GRE	Men		M	Bronze
Athens	1896	Athletics	Athletics		USA	Men		M	Gold
Athens	1896	Athletics	Athletics		USA	Men		M	Silver
Athens	1896	Athletics	Athletics		GRE	Men		M	Bronze
Athens	1896	Athletics	Athletics		USA	Men		M	Gold
Athens	1896	Athletics	Athletics		GRE	Men		M	Silver
Athens	1896	Athletics	Athletics		GRE	Men		M	Bronze
Athens	1896	Athletics	Athletics		USA	Men		M	Gold
Athens	1896	Athletics	Athletics		FRA	Men		M	Silver
Athens	1896	Cycling	Cycling Road		GBR	Men		M	Bronze
Athens	1896	Cycling	Cycling Road		GRE	Men		M	Gold
Athens	1896	Cycling	Cycling Road		GER	Men		M	Silver
Athens	1896	Cycling	Cycling Track		FRA	Men		M	Gold
Athens	1896	Cycling	Cycling Track		GRE	Men		M	Silver
Athens	1896	Cycling	Cycling Track		AUT	Men		M	Bronze
Athens	1896	Cycling	Cycling Track		FRA	Men		M	Gold
Athens	1896	Cycling	Cycling Track		FRA	Men		M	Silver
Athens	1896	Cycling	Cycling Track		AUT	Men		M	Gold
Athens	1896	Cycling	Cycling Track		GBR	Men		M	Silver
Athens	1896	Cycling	Cycling Track		AUT	Men		M	Bronze
Athens	1896	Cycling	Cycling Track		FRA	Men		M	Gold
Athens	1896	Cycling	Cycling Track		GRE	Men		M	Silver
Athens	1896	Cycling	Cycling Track		FRA	Men		M	Bronze
Athens	1896	Cycling	Cycling Track		FRA	Men		M	Gold
Athens	1896	Cycling	Cycling Track		GRE	Men		M	Silver
Athens	1896	Fencing	Fencing		GRE	Men		M	Bronze
