Region	Ratio	Year	
South America	0.03686934023285899	1988	
Central Europe	0.07309184993531695	1988	
Northern Europe	0.2632600258732212	1988	
South East Asia	0.003234152652005175	1988	
Australia	0.037516170763260026	1988	
Minorities and Others	0.000646830530401035	1988	
Indian Subcontinent	0.000646830530401035	1988	
Africa	0.0071151358344113845	1988	
East Asia	0.09767141009055627	1988	
Western Europe	0.27360931435963776	1988	
North America	0.1384217335058215	1988	
Middle East	0.00258732212160414	1988	
Eastern Europe	0.06080206985769728	1988	
Central America	0.004527813712807244	1988	
South America	0.07692307692307693	1996	
Central Europe	0.1048951048951049	1996	
Northern Europe	0.12802582033351265	1996	
Australia	0.07584722969338353	1996	
Minorities and Others	0.0005379236148466917	1996	
Indian Subcontinent	0.0005379236148466917	1996	
North America	0.16729424421732114	1996	
East Asia	0.12318450779989241	1996	
Africa	0.027972027972027972	1996	
Middle East	0.009682625067240451	1996	
Western Europe	0.19203873050026896	1996	
South East Asia	0.006455083378160301	1996	
Eastern Europe	0.07315761161915008	1996	
Central America	0.013448090371167294	1996	
South America	0.022350396539293438	1980	
Central Europe	0.14924297043979812	1980	
Northern Europe	0.3850036049026676	1980	
East Asia	0.006488824801730353	1980	
Australia	0.008651766402307137	1980	
Western Europe	0.26892573900504685	1980	
Central America	0.010814708002883922	1980	
Indian Subcontinent	0.011535688536409516	1980	
Middle East	0.0007209805335255948	1980	
Eastern Europe	0.11968276856524873	1980	
Africa	0.01658255227108868	1980	
South America	0.05278592375366569	1992	
Central Europe	0.08797653958944282	1992	
Northern Europe	0.18826979472140762	1992	
Australia	0.04222873900293255	1992	
Minorities and Others	0.0017595307917888563	1992	
Indian Subcontinent	0.0093841642228739	1992	
North America	0.15718475073313784	1992	
East Asia	0.12375366568914956	1992	
Africa	0.02463343108504399	1992	
Middle East	0.005278592375366569	1992	
Western Europe	0.2434017595307918	1992	
South East Asia	0.005865102639296188	1992	
Eastern Europe	0.05337243401759531	1992	
Central America	0.004105571847507331	1992	
South America	0.012571428571428572	1936	
Central Europe	0.21257142857142858	1936	
Northern Europe	0.11885714285714286	1936	
South East Asia	0.001142857142857143	1936	
Australia	0.002285714285714286	1936	
Indian Subcontinent	0.021714285714285714	1936	
North America	0.13028571428571428	1936	
East Asia	0.024	1936	
Middle East	0.005714285714285714	1936	
Western Europe	0.44685714285714284	1936	
Africa	0.001142857142857143	1936	
Eastern Europe	0.004571428571428572	1936	
Central America	0.018285714285714287	1936	
Central Europe	0.059887005649717516	1912	
Northern Europe	0.46779661016949153	1912	
Australia	0.011299435028248588	1912	
Western Europe	0.32994350282485874	1912	
Africa	0.007909604519774011	1912	
North America	0.12316384180790961	1912	
South America	0.07746478873239436	1928	
Central Europe	0.21549295774647886	1928	
Northern Europe	0.14647887323943662	1928	
Australia	0.007042253521126761	1928	
Indian Subcontinent	0.02112676056338028	1928	
North America	0.1647887323943662	1928	
East Asia	0.011267605633802818	1928	
Africa	0.008450704225352112	1928	
Middle East	0.005633802816901409	1928	
Western Europe	0.33943661971830985	1928	
South East Asia	0.0014084507042253522	1928	
Central America	0.0014084507042253522	1928	
South America	0.021455938697318006	1976	
Central Europe	0.1409961685823755	1976	
Northern Europe	0.25593869731800767	1976	
Australia	0.03908045977011494	1976	
Indian Subcontinent	0.012260536398467433	1976	
Middle East	0.0015325670498084292	1976	
East Asia	0.04674329501915709	1976	
Western Europe	0.2697318007662835	1976	
North America	0.13409961685823754	1976	
South East Asia	0.0007662835249042146	1976	
Eastern Europe	0.07203065134099616	1976	
Central America	0.0053639846743295016	1976	
South America	0.01485148514851485	1964	
Central Europe	0.21287128712871287	1964	
Northern Europe	0.2188118811881188	1964	
South East Asia	0.0009900990099009901	1964	
Australia	0.047524752475247525	1964	
Indian Subcontinent	0.030693069306930693	1964	
Middle East	0.0019801980198019802	1964	
East Asia	0.06633663366336634	1964	
Western Europe	0.20594059405940593	1964	
North America	0.15346534653465346	1964	
Africa	0.005940594059405941	1964	
Eastern Europe	0.031683168316831684	1964	
Central America	0.00891089108910891	1964	
South America	0.02040816326530612	1960	
Central Europe	0.24829931972789115	1960	
Northern Europe	0.25396825396825395	1960	
South East Asia	0.0011337868480725624	1960	
Australia	0.04421768707482993	1960	
